"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power"
"264",2,"continuous",200,200,1,1,3.16227766016838,3.16227766016838,1,4,NA,0.9625,0.9978
"265",2,"continuous",200,200,1,1,3.16227766016838,3.16227766016838,1,5,NA,0.9998,1
"266",2,"continuous",200,200,1,1,10,10,1,1,NA,0.0026,0.0486
"267",2,"continuous",200,200,1,1,10,10,1,2,NA,0.0076,0.0809
"268",2,"continuous",200,200,1,1,10,10,1,3,NA,0.0251,0.1701
"269",2,"continuous",200,200,1,1,10,10,1,4,NA,0.0762,0.3229
"270",2,"continuous",200,200,1,1,10,10,1,5,NA,0.1711,0.5218
"271",2,"continuous",250,250,1,1,1,1,1,1,NA,0.0024,0.051
"272",2,"continuous",250,250,1,1,1,1,1,2,NA,0.9951,0.9998
"273",2,"continuous",250,250,1,1,1,1,1,3,NA,1,1
"274",2,"continuous",250,250,1,1,1,1,1,4,NA,1,1
"275",2,"continuous",250,250,1,1,1,1,1,5,NA,1,1
"276",2,"continuous",250,250,1,1,3.16227766016838,3.16227766016838,1,1,NA,0.0024,0.051
"277",2,"continuous",250,250,1,1,3.16227766016838,3.16227766016838,1,2,NA,0.1095,0.4288
"278",2,"continuous",250,250,1,1,3.16227766016838,3.16227766016838,1,3,NA,0.7015,0.9448
"279",2,"continuous",250,250,1,1,3.16227766016838,3.16227766016838,1,4,NA,0.989,0.9997
"280",2,"continuous",250,250,1,1,3.16227766016838,3.16227766016838,1,5,NA,1,1
"281",2,"continuous",250,250,1,1,10,10,1,1,NA,0.0024,0.051
"282",2,"continuous",250,250,1,1,10,10,1,2,NA,0.0087,0.0855
"283",2,"continuous",250,250,1,1,10,10,1,3,NA,0.0311,0.2001
"284",2,"continuous",250,250,1,1,10,10,1,4,NA,0.0923,0.3912
"285",2,"continuous",250,250,1,1,10,10,1,5,NA,0.2229,0.6035
"286",2,"continuous",300,300,1,1,1,1,1,1,NA,0.0023,0.0499
"287",2,"continuous",300,300,1,1,1,1,1,2,NA,0.9992,0.9999
"288",2,"continuous",300,300,1,1,1,1,1,3,NA,1,1
"289",2,"continuous",300,300,1,1,1,1,1,4,NA,1,1
"290",2,"continuous",300,300,1,1,1,1,1,5,NA,1,1
"291",2,"continuous",300,300,1,1,3.16227766016838,3.16227766016838,1,1,NA,0.0023,0.0499
