"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"130",1,"continuous",350,350,1,4,1,1,NA,NA,1,1,1,0.8,0.05
"131",1,"continuous",350,350,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"132",1,"continuous",350,350,1,4,10,10,NA,NA,1,0.9776,0.9769,0.8,0.05
"133",1,"continuous",350,350,1,5,1,1,NA,NA,1,1,1,0.8,0.05
"134",1,"continuous",350,350,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"135",1,"continuous",350,350,1,5,10,10,NA,NA,1,0.9994,0.9994,0.8,0.05
"136",1,"continuous",400,400,1,1,1,1,NA,NA,0.4165,0.0535,0.0551,0.8,0.05
"137",1,"continuous",400,400,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0535,0.0551,0.8,0.05
"138",1,"continuous",400,400,1,1,10,10,NA,NA,1,0.0535,0.0551,0.8,0.05
"139",1,"continuous",400,400,1,2,1,1,NA,NA,1,1,1,0.8,0.05
"140",1,"continuous",400,400,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9943,0.9944,0.8,0.05
"141",1,"continuous",400,400,1,2,10,10,NA,NA,1,0.2889,0.294,0.8,0.05
"142",1,"continuous",400,400,1,3,1,1,NA,NA,1,1,1,0.8,0.05
"143",1,"continuous",400,400,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"144",1,"continuous",400,400,1,3,10,10,NA,NA,1,0.7975,0.8017,0.8,0.05
"145",1,"continuous",400,400,1,4,1,1,NA,NA,1,1,1,0.8,0.05
"146",1,"continuous",400,400,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"147",1,"continuous",400,400,1,4,10,10,NA,NA,1,0.9885,0.9887,0.8,0.05
"148",1,"continuous",400,400,1,5,1,1,NA,NA,1,1,1,0.8,0.05
"149",1,"continuous",400,400,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"150",1,"continuous",400,400,1,5,10,10,NA,NA,1,0.9999,0.9999,0.8,0.05
"151",1,"continuous",450,450,1,1,1,1,NA,NA,0.3722,0.0466,0.0526,0.8,0.05
"152",1,"continuous",450,450,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0466,0.0526,0.8,0.05
"153",1,"continuous",450,450,1,1,10,10,NA,NA,1,0.0466,0.0526,0.8,0.05
"154",1,"continuous",450,450,1,2,1,1,NA,NA,1,1,1,0.8,0.05
"155",1,"continuous",450,450,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9975,0.9979,0.8,0.05
"156",1,"continuous",450,450,1,2,10,10,NA,NA,1,0.31,0.3251,0.8,0.05
"157",1,"continuous",450,450,1,3,1,1,NA,NA,1,1,1,0.8,0.05
"158",1,"continuous",450,450,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"159",1,"continuous",450,450,1,3,10,10,NA,NA,1,0.8382,0.85,0.8,0.05
"160",1,"continuous",450,450,1,4,1,1,NA,NA,1,1,1,0.8,0.05
"161",1,"continuous",450,450,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"162",1,"continuous",450,450,1,4,10,10,NA,NA,1,0.9946,0.9954,0.8,0.05
"163",1,"continuous",450,450,1,5,1,1,NA,NA,1,1,1,0.8,0.05
"164",1,"continuous",450,450,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"165",1,"continuous",450,450,1,5,10,10,NA,NA,1,1,1,0.8,0.05
"166",1,"continuous",500,500,1,1,1,1,NA,NA,0.3457,0.0431,0.051,0.8,0.05
"167",1,"continuous",500,500,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0431,0.051,0.8,0.05
"168",1,"continuous",500,500,1,1,10,10,NA,NA,1,0.0431,0.051,0.8,0.05
"169",1,"continuous",500,500,1,2,1,1,NA,NA,1,1,1,0.8,0.05
"170",1,"continuous",500,500,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9984,0.9988,0.8,0.05
"171",1,"continuous",500,500,1,2,10,10,NA,NA,1,0.3239,0.3515,0.8,0.05
"172",1,"continuous",500,500,1,3,1,1,NA,NA,1,1,1,0.8,0.05
"173",1,"continuous",500,500,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"174",1,"continuous",500,500,1,3,10,10,NA,NA,1,0.8668,0.881,0.8,0.05
"175",1,"continuous",500,500,1,4,1,1,NA,NA,1,1,1,0.8,0.05
"176",1,"continuous",500,500,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"177",1,"continuous",500,500,1,4,10,10,NA,NA,1,0.9967,0.9973,0.8,0.05
"178",1,"continuous",500,500,1,5,1,1,NA,NA,1,1,1,0.8,0.05
"179",1,"continuous",500,500,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"180",1,"continuous",500,500,1,5,10,10,NA,NA,1,1,1,0.8,0.05
"181",2,"binary",100,100,0.1,0.1,NA,NA,0.1,0.1,NA,0.1308,0.0623,0.8,0.05
"182",2,"binary",100,100,0.1,0.1,NA,NA,0.1,0.2,NA,0.2049,0.1148,0.8,0.05
"183",2,"binary",100,100,0.1,0.1,NA,NA,0.1,0.3,NA,0.3739,0.244,0.8,0.05
"184",2,"binary",100,100,0.1,0.1,NA,NA,0.1,0.4,NA,0.5517,0.4146,0.8,0.05
