"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"138",1,"continuous",525,175,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"139",1,"continuous",525,175,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"140",1,"continuous",525,175,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"141",1,"continuous",540,60,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0584,0.0508,0.8,0.05
"142",1,"continuous",540,60,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.6588,0.6363,0.8,0.05
"143",1,"continuous",540,60,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9976,0.9972,0.8,0.05
"144",1,"continuous",540,60,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"145",1,"continuous",540,60,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"146",1,"continuous",600,200,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.048,0.0499,0.8,0.05
"147",1,"continuous",600,200,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9701,0.9712,0.8,0.05
"148",1,"continuous",600,200,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"149",1,"continuous",600,200,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"150",1,"continuous",600,200,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"151",1,"continuous",630,70,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0524,0.0493,0.8,0.05
"152",1,"continuous",630,70,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.7142,0.7055,0.8,0.05
"153",1,"continuous",630,70,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9986,0.9985,0.8,0.05
"154",1,"continuous",630,70,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"155",1,"continuous",630,70,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"156",1,"continuous",675,225,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0449,0.0498,0.8,0.05
"157",1,"continuous",675,225,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.9815,0.9839,0.8,0.05
"158",1,"continuous",675,225,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"159",1,"continuous",675,225,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"160",1,"continuous",675,225,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"161",1,"continuous",720,80,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0457,0.047,0.8,0.05
"162",1,"continuous",720,80,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.7604,0.7647,0.8,0.05
"163",1,"continuous",720,80,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9993,0.9994,0.8,0.05
"164",1,"continuous",720,80,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"165",1,"continuous",720,80,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"166",1,"continuous",750,250,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0447,0.0527,0.8,0.05
"167",1,"continuous",750,250,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.99,0.9917,0.8,0.05
"168",1,"continuous",750,250,1,3,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"169",1,"continuous",750,250,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"170",1,"continuous",750,250,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"171",1,"continuous",810,90,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0424,0.0472,0.8,0.05
"172",1,"continuous",810,90,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.7991,0.8117,0.8,0.05
"173",1,"continuous",810,90,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9999,0.9999,0.8,0.05
"174",1,"continuous",810,90,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"175",1,"continuous",810,90,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"176",1,"continuous",900,100,1,1,3.16227766016838,3.16227766016838,NA,NA,1,0.0423,0.051,0.8,0.05
"177",1,"continuous",900,100,1,2,3.16227766016838,3.16227766016838,NA,NA,1,0.8297,0.8458,0.8,0.05
"178",1,"continuous",900,100,1,3,3.16227766016838,3.16227766016838,NA,NA,1,0.9999,0.9999,0.8,0.05
"179",1,"continuous",900,100,1,4,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"180",1,"continuous",900,100,1,5,3.16227766016838,3.16227766016838,NA,NA,1,1,1,0.8,0.05
"181",2,"binary",150,50,0.1,0.1,NA,NA,0.1,0.1,NA,0.138,0.0662,0.8,0.05
"182",2,"binary",150,50,0.1,0.1,NA,NA,0.1,0.2,NA,0.1871,0.1042,0.8,0.05
"183",2,"binary",150,50,0.1,0.1,NA,NA,0.1,0.3,NA,0.3273,0.2091,0.8,0.05
"184",2,"binary",150,50,0.1,0.1,NA,NA,0.1,0.4,NA,0.5038,0.3612,0.8,0.05
"185",2,"binary",150,50,0.1,0.1,NA,NA,0.1,0.5,NA,0.6769,0.5418,0.8,0.05
"186",2,"binary",180,20,0.1,0.1,NA,NA,0.1,0.1,NA,0.1474,0.0612,0.8,0.05
"187",2,"binary",180,20,0.1,0.1,NA,NA,0.1,0.2,NA,0.1894,0.0865,0.8,0.05
"188",2,"binary",180,20,0.1,0.1,NA,NA,0.1,0.3,NA,0.2853,0.1532,0.8,0.05
"189",2,"binary",180,20,0.1,0.1,NA,NA,0.1,0.4,NA,0.3976,0.2533,0.8,0.05
"190",2,"binary",180,20,0.1,0.1,NA,NA,0.1,0.5,NA,0.5245,0.3771,0.8,0.05
"191",2,"binary",225,75,0.1,0.1,NA,NA,0.1,0.1,NA,0.0986,0.0597,0.8,0.05
"192",2,"binary",225,75,0.1,0.1,NA,NA,0.1,0.2,NA,0.1764,0.1202,0.8,0.05
"193",2,"binary",225,75,0.1,0.1,NA,NA,0.1,0.3,NA,0.3671,0.2813,0.8,0.05
"194",2,"binary",225,75,0.1,0.1,NA,NA,0.1,0.4,NA,0.5911,0.4951,0.8,0.05
"195",2,"binary",225,75,0.1,0.1,NA,NA,0.1,0.5,NA,0.7949,0.7133,0.8,0.05
"196",2,"binary",270,30,0.1,0.1,NA,NA,0.1,0.1,NA,0.1265,0.0704,0.8,0.05
"197",2,"binary",270,30,0.1,0.1,NA,NA,0.1,0.2,NA,0.1773,0.1111,0.8,0.05
"198",2,"binary",270,30,0.1,0.1,NA,NA,0.1,0.3,NA,0.2883,0.206,0.8,0.05
"199",2,"binary",270,30,0.1,0.1,NA,NA,0.1,0.4,NA,0.425,0.3333,0.8,0.05
"200",2,"binary",270,30,0.1,0.1,NA,NA,0.1,0.5,NA,0.5854,0.4882,0.8,0.05
"201",2,"binary",300,100,0.1,0.1,NA,NA,0.1,0.1,NA,0.0827,0.0587,0.8,0.05
"202",2,"binary",300,100,0.1,0.1,NA,NA,0.1,0.2,NA,0.1832,0.1426,0.8,0.05
"203",2,"binary",300,100,0.1,0.1,NA,NA,0.1,0.3,NA,0.4074,0.3483,0.8,0.05
"204",2,"binary",300,100,0.1,0.1,NA,NA,0.1,0.4,NA,0.6757,0.609,0.8,0.05
"205",2,"binary",300,100,0.1,0.1,NA,NA,0.1,0.5,NA,0.8718,0.8353,0.8,0.05
"206",2,"binary",360,40,0.1,0.1,NA,NA,0.1,0.1,NA,0.0986,0.067,0.8,0.05
"207",2,"binary",360,40,0.1,0.1,NA,NA,0.1,0.2,NA,0.1529,0.1198,0.8,0.05
"208",2,"binary",360,40,0.1,0.1,NA,NA,0.1,0.3,NA,0.2712,0.2229,0.8,0.05
"209",2,"binary",360,40,0.1,0.1,NA,NA,0.1,0.4,NA,0.4531,0.3871,0.8,0.05
"210",2,"binary",360,40,0.1,0.1,NA,NA,0.1,0.5,NA,0.6551,0.5931,0.8,0.05
"211",2,"binary",375,125,0.1,0.1,NA,NA,0.1,0.1,NA,0.0669,0.0527,0.8,0.05
"212",2,"binary",375,125,0.1,0.1,NA,NA,0.1,0.2,NA,0.1884,0.161,0.8,0.05
"213",2,"binary",375,125,0.1,0.1,NA,NA,0.1,0.3,NA,0.4642,0.4237,0.8,0.05
"214",2,"binary",375,125,0.1,0.1,NA,NA,0.1,0.4,NA,0.7477,0.7156,0.8,0.05
"215",2,"binary",375,125,0.1,0.1,NA,NA,0.1,0.5,NA,0.9219,0.9061,0.8,0.05
"216",2,"binary",450,50,0.1,0.1,NA,NA,0.1,0.1,NA,0.0898,0.0723,0.8,0.05
"217",2,"binary",450,50,0.1,0.1,NA,NA,0.1,0.2,NA,0.1461,0.1227,0.8,0.05
"218",2,"binary",450,50,0.1,0.1,NA,NA,0.1,0.3,NA,0.2914,0.2552,0.8,0.05
"219",2,"binary",450,50,0.1,0.1,NA,NA,0.1,0.4,NA,0.504,0.457,0.8,0.05
"220",2,"binary",450,50,0.1,0.1,NA,NA,0.1,0.5,NA,0.7188,0.6791,0.8,0.05
"221",2,"binary",450,150,0.1,0.1,NA,NA,0.1,0.1,NA,0.0621,0.0543,0.8,0.05
